Country (mentioned),Review Date,Claim,Source,Label,Fact-checked Article,clean_claims,clean_claims_wsw
Italy,"Jan 14, 2021","""It""s the fault of the bars, restaurants, stadiums, museums, etc, right?""",facebook,1,https://facta.news/fuori-contesto/2021/01/14/questa-foto-di-una-metro-piena-di-persone-e-reale-ma-non-e-stata-scattata-in-italia/,it the fault of the bars restaurants stadiums museums etc right,fault bars restaurants stadiums museums etc right
Indonesia,"Jan 14, 2021","The video that is claimed to be a video queuing for Covid-19 patients at the Wisma Atlet Emergency Hospital (RSD), Jakarta",multiple sources,0,https://periksafakta.afp.com/video-menunjukkan-antrean-di-pusat-karantina-covid-19-di-malaysia,the video that is claimed to be video queuing for covid patients at the wisma atlet emergency hospital rsd jakarta,video claimed video queuing covid patients wisma atlet emergency hospital rsd jakarta
Indonesia,"Jan 14, 2021","""The people of Aceh reject the covid19 vaccine because according to Acehnese scholars it is haram""",facebook,1,https://cekfakta.com/focus/6085,the people of aceh reject the covid vaccine because according to acehnese scholars it is haram,people aceh reject covid vaccine according acehnese scholars haram
Indonesia,"Jan 14, 2021",Elementary school students died of vaccines amid the Covid-19 pandemic,youtube,1,https://cekfakta.tempo.co/fakta/1196/sesat-siswi-sd-meninggal-karena-vaksin-di-tengah-pandemi-covid-19,elementary school students died of vaccines amid the covid pandemic,elementary school students died vaccines amid covid pandemic
Myanmar,"Jan 14, 2021",Doctors are encouraging the injection of COVID-19 vaccines in the penis.,multiple sources,0,https://factcheckmyanmar.afp.com/covid-19-thiuchekiu-amiusaalinganggthaithiuphiu-chraawnttettiukttnttychiuttaisttngmaa,doctors are encouraging the injection of covid vaccines in the penis,doctors encouraging injection covid vaccines penis
France,"Jan 14, 2021",Michel Cymes pretended to be vaccinated against Covid-19,person,0,https://factuel.afp.com/non-michel-cymes-na-pas-feint-de-se-faire-vacciner-contre-le-covid-19,michel cymes pretended to be vaccinated against covid,michel cymes pretended vaccinated covid
India,"Jan 13, 2021","Please note the differences: (1) dry cough + sneeze = air pollution (2) cough + mucus + sneeze + runny nose = common cold (3) Cough + mucus + sneeze + runny nose + body ache + weakness + light fever = flu (4) Dry cough + sneeze + body pain + weakness + high fever + difficulty breathing = coronavirus. Pathology department AIIMS, Delhi. Make this message available to as many people as possible!",whatsapp,0,https://www.vishvasnews.com/english/health/quick-fact-check-fake-post-on-coronavirus-symptoms-0ly-attributed-to-aiims-resurfaces/,please note the differences dry cough sneeze air pollution cough mucus sneeze runny nose common cold cough mucus sneeze runny nose body ache weakness light fever flu dry cough sneeze body pain weakness high fever difficulty breathing coronavirus pathology department aiims delhi make this message available to as many people as possible,please note differences dry cough sneeze air pollution cough mucus sneeze runny nose common cold cough mucus sneeze runny nose body ache weakness light fever flu dry cough sneeze body pain weakness high fever difficulty breathing coronavirus pathology department aiims delhi make message available many people possible
Europe,"Jan 13, 2021","""When the pandemic started, the private [hospitals] wanted to charge 13,000 euros for each patient with Covid-19""",person,0,https://observador.pt/factchecks/fact-check-privados-queriam-cobrar-13-mil-euros-por-cada-doente-com-covid-19-como-diz-marisa-matias/,when the pandemic started the private hospitals wanted to charge euros for each patient with covid,pandemic started private hospitals wanted charge euros patient covid
Poland,"Jan 13, 2021","At the moment, today, we have over 250,000. people vaccinated on covid. The report of the Chief Sanitary Inspector and the entire Sanitary Inspection shows that in Poland we have so far had only 37 undesirable postvaccination reactions in the case of covid vaccination, of which 32 were mild, 4 serious and 1 severe.",person,2,https://demagog.org.pl/wypowiedzi/ile-nopow-wystapilo-po-szczepieniu-na-covid-19/,at the moment today we have over people vaccinated on covid the report of the chief sanitary inspector and the entire sanitary inspection shows that in poland we have so far had only undesirable postvaccination reactions in the case of covid vaccination of which were mild serious and severe,moment today people vaccinated covid report chief sanitary inspector entire sanitary inspection shows poland far undesirable postvaccination reactions case covid vaccination mild serious severe
United Kingdom,"Jan 13, 2021","“The experts openly said: These are not different options, but successive steps to conquer the world and take it under the unified strict control of corporations, elected by no one and not responsible to anyone.”",person,0,https://www.polygraph.info/a/31045421.html,the experts openly said these are not different options but successive steps to conquer the world and take it under the unified strict control of corporations elected by no one and not responsible to anyone,experts openly said different options successive steps conquer world take unified strict control corporations elected one responsible anyone
United States,"Jan 13, 2021",Texas is Doing a Great Job With COVID-19 Vaccine Administration,donald trump,1,https://www.newsweek.com/fact-check-texas-doing-great-job-covid-19-vaccine-administration-trump-says-1561387,texas is doing great job with covid vaccine administration,texas great job covid vaccine administration
United Kingdom,"Jan 13, 2021",Police will now require written evidence of a medical exemption if people are to avoid a fine for not wearing a mask.,news media,3,https://fullfact.org/health/police-mask-exemption/,police will now require written evidence of medical exemption if people are to avoid fine for not wearing mask,police require written evidence medical exemption people avoid fine wearing mask
China,"Jan 13, 2021","people are being cooled... See where Pfizer""s bite is being produced [in China]… Touch the image to enlarge it…",facebook,0,https://piaui.folha.uol.com.br/lupa/2021/01/13/verificamos-pfizer-vacina-china/,people are being cooled see where pfizer bite is being produced in china touch the image to enlarge it,people cooled see pfizer bite produced china touch image enlarge
Mexico,"Jan 13, 2021",Layda Sansores broke into the warehouse to be vaccinated against COVID-19,social media,0,https://www.animalpolitico.com/elsabueso/falso-video-sansores-vacunada-covid/,layda sansores broke into the warehouse to be vaccinated against covid,layda sansores broke warehouse vaccinated covid
United Kingdom,"Jan 13, 2021",Same woman gets Covid-19 vaccine in UK and South Africa,multiple sources,0,https://factcheck.afp.com/south-african-newspaper-clarifies-it-used-photo-british-woman-receiving-covid-19-vaccine-satirical,same woman gets covid vaccine in uk and south africa,woman gets covid vaccine uk south africa
Poland,"Jan 12, 2021","If we look at data (concerning COVID-19 - note by Demagog), e.g. Eurostat, and look at a map with Poland marked, Poland is often marked in gray there (...) because data from Poland is simply unbelievable, they are not recognized by the world.",person,0,https://demagog.org.pl/wypowiedzi/czy-eurostat-pomija-statystyki-dotyczace-polski-poniewaz-sa-one-niewiarygodne/,if we look at data concerning covid note by demagog eurostat and look at map with poland marked poland is often marked in gray there because data from poland is simply unbelievable they are not recognized by the world,look data concerning covid note demagog eurostat look map poland marked poland often marked gray data poland simply unbelievable recognized world
United Kingdom,"Jan 12, 2021",Make sure you and your family all dig out your NHS number and have a copy of it immediately to hand for the Covid jab. NHS staff on the front line say this is the biggest bottleneck when it comes to administering the vaccine to as many people as quickly as possible.,facebook,1,https://fullfact.org/online/nhs-number-coronavirus-vaccine/,make sure you and your family all dig out your nhs number and have copy of it immediately to hand for the covid jab nhs staff on the front line say this is the biggest bottleneck when it comes to administering the vaccine to as many people as quickly as possible,make sure family dig nhs number copy immediately hand covid jab nhs staff front line say biggest bottleneck comes administering vaccine many people quickly possible
Thailand,"Jan 12, 2021","A message has been shared repeatedly in multiple posts on Facebook, Twitter and messaging app Line that purports to be an official warning from the Thailand Post service about the danger of contracting Covid-19 from touching mail. ",multiple sources,0,https://factcheck.afp.com/hoax-thai-post-warning-message-shares-1-claim-about-covid-19-infection-touching-mail,message has been shared repeatedly in multiple posts on facebook twitter and messaging app line that purports to be an official warning from the thailand post service about the danger of contracting covid from touching mail,message shared repeatedly multiple posts facebook twitter messaging app line purports official warning thailand post service danger contracting covid touching mail
Indonesia,"Jan 12, 2021",The video claimed to be the video of Social Minister Risma and the Minister of Home Affairs dancing without masks in the middle of the Covid-19 pandemic,facebook,0,https://cekfakta.tempo.co/fakta/1193/keliru-klaim-ini-video-mensos-risma-dan-mendagri-berjoget-tanpa-masker-di-tengah-pandemi-covid-19,the video claimed to be the video of social minister risma and the minister of home affairs dancing without masks in the middle of the covid pandemic,video claimed video social minister risma minister home affairs dancing without masks middle covid pandemic
United Kingdom,"Jan 11, 2021",Mandatory vaccines became law from Wednesday 6 January 2021.,facebook,0,https://fullfact.org/online/mandatory-vaccines-january-2021/,mandatory vaccines became law from wednesday january,mandatory vaccines became law wednesday january
Indonesia,"Jan 11, 2021","The video that is claimed to be a video queuing for Covid-19 patients at the Wisma Atlet Emergency Hospital (RSD), Jakarta",facebook,0,https://cekfakta.tempo.co/fakta/1189/keliru-klaim-ini-video-antrian-masuk-pasien-covid-19-di-rsd-wisma-atlet,the video that is claimed to be video queuing for covid patients at the wisma atlet emergency hospital rsd jakarta,video claimed video queuing covid patients wisma atlet emergency hospital rsd jakarta
Italy ,"Jan 11, 2021","Italian scientists did the Covid test on a kiwi, and the result was positive.",social media,0,https://www.aosfatos.org/noticias/video-de-teste-positivo-para-covid-19-em-kiwi-nao-prova-que-exames-sao-ineficazes/,italian scientists did the covid test on kiwi and the result was positive,italian scientists covid test kiwi result positive
United States,"Jan 11, 2021","Immunologist Anthony Fauci did not receive covid-19 vaccine, he got the wrong arm, it is a sham.",multiple sources,0,https://factual.afp.com/el-inmunologo-estadounidense-anthony-fauci-si-recibio-la-vacuna-contra-el-covid-19,immunologist anthony fauci did not receive covid vaccine he got the wrong arm it is sham,immunologist anthony fauci receive covid vaccine got wrong arm sham
Argentina,"Jan 10, 2021",“Argentina again setting a world trend. Vaccinating the same guy twice. ”,facebook,0,https://observador.pt/factchecks/fact-check-homem-na-argentina-foi-vacinado-duas-vezes-em-bracos-diferentes-contra-a-covid-19/,argentina again setting world trend vaccinating the same guy twice,argentina setting world trend vaccinating guy twice
United States,"Jan 10, 2021",Barack Obama advises Africans not to get vaccinated against Covid-19.,social media,0,https://www.indiatoday.in/fact-check/story/fact-check-obama-never-warned-africans-against-covid-19-vaccines-from-us-europe-1757718-2021-01-10,barack obama advises africans not to get vaccinated against covid,barack obama advises africans get vaccinated covid
United States,"Jan 10, 2021",The video shows Kamala Harris actually wasn't vaccinated,facebook,0,https://observador.pt/factchecks/fact-check-kamala-harris-simulou-momento-em-que-foi-vacinada-contra-a-covid-19/,the video shows kamala harris actually wasnt vaccinated,video shows kamala harris actually wasnt vaccinated
Portugal,"Jan 10, 2021","""Did you know that medical personnel in Coimbra were contacted, or a survey was made to health professionals, to find out who wanted to get the vaccine? There were more than 6,000 ... Do you know how many said yes? 95""",facebook,0,https://observador.pt/factchecks/fact-check-so-2-dos-profissionais-de-saude-do-hospital-de-coimbra-aceitou-ser-vacinado-contra-a-covid-19/,did you know that medical personnel in coimbra were contacted or survey was made to health professionals to find out who wanted to get the vaccine there were more than do you know how many said yes,know medical personnel coimbra contacted survey made health professionals find wanted get vaccine know many said yes
United Kingdom,"Jan 9, 2021","Only 13,000 People in the United Kingdom Will be Infected with Covid-19 in 2020",facebook,1,https://cekfakta.com/focus/6041,only people in the united kingdom will be infected with covid in,people united kingdom infected covid
Argentina,"Jan 9, 2021","The Argentine vice president is the first woman to be vaccinated without a needle, gloves and syringe, and also without a mask. Neither the competent nurse nor she.",social media,0,https://www.boatos.org/mundo/cristina-kirchner-tomou-vacina-covid-19-sem-agulha-mascara.html,the argentine vice president is the first woman to be vaccinated without needle gloves and syringe and also without mask neither the competent nurse nor she,argentine vice president first woman vaccinated without needle gloves syringe also without mask neither competent nurse
Ireland,"Jan 8, 2021","Ireland’s test and trace system cost £775,000.",No data,0,https://fullfact.org/health/flawed-comparisons-between-test-and-trace-systems-go-viral/,irelands test and trace system cost ps,irelands test trace system cost ps
United Kingdom,"Jan 8, 2021",Test and Trace is costing £22 billion.,facebook,0,https://fullfact.org/health/flawed-comparisons-between-test-and-trace-systems-go-viral/,test and trace is costing ps billion,test trace costing ps billion
Italy ,"Jan 8, 2021","Italian scientists did the Covid test on a kiwi, and the result was positive.",social media,0,https://politica.estadao.com.br/blogs/estadao-verifica/nao-resultado-positivo-de-kiwi-em-teste-de-covid-19-nao-prova-ineficacia-de-exames/,italian scientists did the covid test on kiwi and the result was positive,italian scientists covid test kiwi result positive
Barbados,"Jan 8, 2021",Justin Trudeau violated COVID-19 guidelines to go to Barbados.,multiple sources,0,https://www.boomlive.in/world/justin-trudeau-did-not-go-to-barbados-violating-covid-19-guidlines-11467,justin trudeau violated covid guidelines to go to barbados,justin trudeau violated covid guidelines go barbados
Brazil,"Jan 8, 2021","The Vital Brazil Institute found Covid""s cure, in its initial stage, with treatment based on equine plasma, which produces antibodies 100 times more potent than the human, 100% efficacy in the cure.",news media,0,https://www.aosfatos.org/noticias/nao-ha-evidencias-de-que-plasma-equino-cure-covid-19-soro-ainda-nao-foi-testado-em-humanos/,the vital brazil institute found covid cure in its initial stage with treatment based on equine plasma which produces antibodies times more potent than the human efficacy in the cure,vital brazil institute found covid cure initial stage treatment based equine plasma produces antibodies times potent human efficacy cure
United Kingdom,"Jan 8, 2021",The number of deaths in England and Wales is below average for this time of year.,person,0,https://fullfact.org/health/covid-deaths-winter-2020-talkradio/,the number of deaths in england and wales is below average for this time of year,number deaths england wales average time year
Portugal,"Jan 8, 2021","In a video that has gone viral on Facebook in recent days, it is said that health professionals are receiving a monthly performance bonus of 499 euros for being in contact with Covid-19 patients.",facebook,0,https://poligrafo.sapo.pt/fact-check/profissionais-de-saude-estao-a-receber-um-premio-mensal-de-desempenho-covid-19,in video that has gone viral on facebook in recent days it is said that health professionals are receiving monthly performance bonus of euros for being in contact with covid patients,video gone viral facebook recent days said health professionals receiving monthly performance bonus euros contact covid patients
United States,"Jan 8, 2021",The video shows Kamala Harris actually wasn't vaccinated,social media,0,https://poligrafo.sapo.pt/fact-check/kamala-harris-fingiu-tomar-a-vacina-para-a-covid-19-em-direto-na-televisao,the video shows kamala harris actually wasnt vaccinated,video shows kamala harris actually wasnt vaccinated
United States,"Jan 8, 2021",Barack Obama advises Africans not to get vaccinated against Covid-19.,social media,0,https://www.boomlive.in/world/barack-obama-covid-19-vaccine-11468,barack obama advises africans not to get vaccinated against covid,barack obama advises africans get vaccinated covid
United States,"Jan 8, 2021",The FDA has approved an at-home COVID-19 test.,twitter,2,https://misbar.com/en/factcheck/2021/01/08/fda-approves-at-home-covid-test,the fda has approved an at home covid test,fda approved home covid test
China,"Jan 8, 2021","China""s Covid-19 Vaccine Kills Indigenous People",facebook,0,https://cekfakta.com/focus/6029,china covid vaccine kills indigenous people,china covid vaccine kills indigenous people
United States,"Jan 8, 2021",New Yorkers can sign up for early access to the COVID-19 vaccine.,twitter,0,https://www.snopes.com/fact-check/new-york-covid-vaccine-preregister/,new yorkers can sign up for early access to the covid vaccine,new yorkers sign early access covid vaccine
Brazil,"Jan 8, 2021","The journalist Gerson Camarotti, from Globo News, asked the medical councils to remove from the registry of doctors who prescribe ""antivirals"" against Covid-19.",social media,0,https://www.boatos.org/saude/gerson-camarotti-pediu-cassacao-registro-medicos-receitam-antivirais-contra-covid-19.html,the journalist gerson camarotti from globo news asked the medical councils to remove from the registry of doctors who prescribe antivirals against covid,journalist gerson camarotti globo news asked medical councils remove registry doctors prescribe antivirals covid
India,"Jan 8, 2021","News from #Lucknow--: #Corona""s #Matter of getting new #strain !! In Sant Vihar and Mansarovar, till January 11, # people are prevented from leaving the house, # police-administration has done #Anouncement…",facebook,1,https://www.vishvasnews.com/viral/fact-check-areas-of-meerut-sealed-to-check-outbreak-of-new-covid-strain-viral-video-passed-off-as-lucknow-2/,news from lucknow corona matter of getting new strain in sant vihar and mansarovar till january people are prevented from leaving the house police administration has done anouncement,news lucknow corona matter getting new strain sant vihar mansarovar till january people prevented leaving house police administration done anouncement
United Kingdom,"Jan 8, 2021",Wales’s test and trace system cost £102 million.,No data,0,https://fullfact.org/health/flawed-comparisons-between-test-and-trace-systems-go-viral/,waless test and trace system cost ps million,waless test trace system cost ps million
United Kingdom,"Jan 7, 2021",The same image of an elderly woman being vaccinated has been used by the media to show a woman called Joan being vaccinated in Manchester and a woman called Susan getting vaccinated in South Africa.,facebook,0,https://fullfact.org/online/joan-burgess-vaccine-picture/,the same image of an elderly woman being vaccinated has been used by the media to show woman called joan being vaccinated in manchester and woman called susan getting vaccinated in south africa,image elderly woman vaccinated used media show woman called joan vaccinated manchester woman called susan getting vaccinated south africa
United States,"Jan 7, 2021",Barack Obama advises Africans not to get vaccinated against Covid-19.,social media,0,https://factcheck.afp.com/obama-has-publicly-endorsed-covid-19-vaccines-and-not-warned-africans-against-them,barack obama advises africans not to get vaccinated against covid,barack obama advises africans get vaccinated covid
 Czech Republic,"Jan 7, 2021",The Covid-19 vaccine has not been properly registered for use in the Czech Republic,multiple sources,0,https://napravoumiru.afp.com/ceske-urady-nepovolily-vakcinu-proti-covid-19-bez-radne-registrace,the covid vaccine has not been properly registered for use in the czech republic,covid vaccine properly registered use czech republic
United States,"Jan 7, 2021","""Controversial report says that Covid-19 did not increase the number of deaths of elderly people in the United States. Numbers are the same as in other years""",multiple sources,0,https://poligrafo.sapo.pt/fact-check/relatorio-comprova-que-pandemia-de-covid-19-nao-aumentou-numero-de-mortes-nos-eua,controversial report says that covid did not increase the number of deaths of elderly people in the united states numbers are the same as in other years,controversial report says covid increase number deaths elderly people united states numbers years
India,"Jan 7, 2021","News from #Lucknow-: # Case of new strain of Corona!! In Sant Vihar and Mansarovar areas, people are not allowed to move out of their houses till Jan 11, 2020 # police-administration making an # Announcement.",facebook,1,https://www.vishvasnews.com/english/viral/fact-check-areas-of-meerut-sealed-to-check-outbreak-of-new-covid-strain-viral-video-passed-off-as-lucknow/,news from lucknow case of new strain of corona in sant vihar and mansarovar areas people are not allowed to move out of their houses till jan police administration making an announcement,news lucknow case new strain corona sant vihar mansarovar areas people allowed move houses till jan police administration making announcement
United States,"Jan 7, 2021",Nashville Nurse claims she suffered from Bells palsy after COVID-19 vaccination.,news media,0,https://www.boatos.org/mundo/enfermeira-khalilah-mitchell-paralisia-facial-vacina.html,nashville nurse claims she suffered from bells palsy after covid vaccination,nashville nurse claims suffered bells palsy covid vaccination
Portugal,"Jan 7, 2021","One of the hottest topics during the debate between Marcelo Rebelo de Sousa and André Ventura, yesterday at SIC, was the release of prisoners due to the Covid-19 pandemic.",news media,2,https://poligrafo.sapo.pt/fact-check/debates-tv-ainda-nao-havia-casos-de-covid-19-nas-prisoes-quando-foram-libertados-reclusos,one of the hottest topics during the debate between marcelo rebelo de sousa and andre ventura yesterday at sic was the release of prisoners due to the covid pandemic,one hottest topics debate marcelo rebelo de sousa andre ventura yesterday sic release prisoners due covid pandemic
Israel,"Jan 7, 2021",Viral video is taken out of context to imply that vaccination in Israel is a 'scam',instagram,0,https://piaui.folha.uol.com.br/lupa/2021/01/07/verificamos-video-vacinacao-israel/,viral video is taken out of context to imply that vaccination in israel is scam,viral video taken context imply vaccination israel scam
Brazil,"Jan 7, 2021","Alive!!! Until some good news, the Vital Brasil Institute found Covid""s cure, in its initial stage, with treatment based on equine plasma, which produces antibodies 100 times more potent than the human, 100% efficacy in the cure, I want see where the vaccines are going to go, congratulations, Brazil 👏👏👏👏👏",facebook,0,https://piaui.folha.uol.com.br/lupa/2021/01/07/verificamos-soro-vital-brazil/,alive until some good news the vital brasil institute found covid cure in its initial stage with treatment based on equine plasma which produces antibodies times more potent than the human efficacy in the cure want see where the vaccines are going to go congratulations brazil,alive good news vital brasil institute found covid cure initial stage treatment based equine plasma produces antibodies times potent human efficacy cure want see vaccines going go congratulations brazil
Philippines,"Jan 7, 2021",Philippine National Police Chief Debold Sinas attended a party in December 2020.,social media,0,https://www.rappler.com/newsbreak/fact-check/sinas-attends-party-december-2020,philippine national police chief debold sinas attended party in december,philippine national police chief debold sinas attended party december
Australia,"Jan 7, 2021",End of vaccination in Australia for HIV infection,person,0,https://factuel.afp.com/non-laustralie-na-pas-mis-fin-la-vaccination-contre-le-covid-19-pour-infection-au-vih,end of vaccination in australia for hiv infection,end vaccination australia hiv infection
Poland,"Jan 7, 2021",Jarosław Kaczyński vaccination certificate,social media,0,https://sprawdzam.afp.com/nie-tweet-z-zaswiadczeniem-szczepienia-przeciwko-covid-19-pochodzi-z-profilu-satyrycznego,jaroslaw kaczynski vaccination certificate,jaroslaw kaczynski vaccination certificate
United States,"Jan 7, 2021",Data compiled by leading health statisticians suggested that Arizona led the world in the highest number of COVID-19 cases reported every day per capita in early January 2021.,news media,2,https://www.snopes.com/fact-check/arizona-covid-per-capita/,data compiled by leading health statisticians suggested that arizona led the world in the highest number of covid cases reported every day per capita in early january,data compiled leading health statisticians suggested arizona led world highest number covid cases reported every day per capita early january
Indonesia,"Jan 7, 2021",Head of KSP Moeldoko said the Covid-19 vaccine for Jokowi was different from those that were spread in the community,facebook,0,https://cekfakta.tempo.co/fakta/1187/keliru-klaim-moeldoko-sebut-vaksin-covid-19-untuk-jokowi-beda-dengan-yang-tersebar-di-masyarakat,head of ksp moeldoko said the covid vaccine for jokowi was different from those that were spread in the community,head ksp moeldoko said covid vaccine jokowi different spread community
India,"Jan 7, 2021",Time Magazine has published a report on the control of Covid-19 in Uttar Pradesh,multiple sources,0,https://bangla.boomlive.in/fact-check/time-magazine-up-government-praise-covid-yogi-adityanath-article-zee-news-abp-news-patrika-tv9bharatvarsh-news18-up-11450,time magazine has published report on the control of covid in uttar pradesh,time magazine published report control covid uttar pradesh
Mexico,"Jan 7, 2021",López Gatell being recently vaccinated before going on vacation,multiple sources,0,https://factual.afp.com/la-foto-de-lopez-gatell-no-es-reciente-es-de-su-vacunacion-contra-la-gripe-en-octubre-de-2020,lopez gatell being recently vaccinated before going on vacation,lopez gatell recently vaccinated going vacation
Indonesia,"Jan 7, 2021",Circulating again on social media posts of several claims related to Covid-19. The latest of this post is on behalf of the presenter Najwa Shihab.,facebook,0,https://cekfakta.com/focus/6021,circulating again on social media posts of several claims related to covid the latest of this post is on behalf of the presenter najwa shihab,circulating social media posts several claims related covid latest post behalf presenter najwa shihab
Brazil,"Jan 6, 2021","In the year 2017. 1,024,668 Brazilians died. In 2018, 1,175,459 Brazilians died. In 2019, 1,240,551 Brazilians died. In the year 2020, 817,565 died. (...) Even with Covid-19 the number of deaths in 2020 is lower than in 2019! ",whatsapp,0,https://piaui.folha.uol.com.br/lupa/2021/01/06/verificamos-mortes-2020-2019/,in the year brazilians died in brazilians died in brazilians died in the year died even with covid the number of deaths in is lower than in,year brazilians died brazilians died brazilians died year died even covid number deaths lower
United States,"Jan 6, 2021",The video shows Kamala Harris actually wasn't vaccinated,social media,0,https://teyit.org/analiz-videonun-kamala-harrisin-aslinda-asi-olmadigini-gosterdigi-iddiasi,the video shows kamala harris actually wasnt vaccinated,video shows kamala harris actually wasnt vaccinated
Thailand,"Jan 6, 2021",Video shows field hospital for Covid-19 in Thailand,multiple sources,0,https://factcheck.afp.com/video-shows-covid-19-patients-quarantine-centre-malaysia,video shows field hospital for covid in thailand,video shows field hospital covid thailand
Brazil,"Jan 6, 2021",Brazilians created a machine that tests covid-19 at almost no cost,social media,1,https://politica.estadao.com.br/blogs/estadao-verifica/brasileiros-criaram-maquina-de-testes-de-covid-19-mas-produto-ainda-esta-em-testes-e-nao-tem-preco/,brazilians created machine that tests covid at almost no cost,brazilians created machine tests covid almost cost
United States,"Jan 6, 2021",The video shows Kamala Harris actually wasn't vaccinated,facebook,0,https://correctiv.org/faktencheck/2021/01/06/kamala-harris-wurde-gegen-covid-19-geimpft-mit-einer-spritze-mit-nadel/,the video shows kamala harris actually wasnt vaccinated,video shows kamala harris actually wasnt vaccinated
Germany,"Jan 6, 2021",A resident of a nursing home of the Diakonie in Meißen had been threatened that she would lose her home if she did not get vaccinated against Covid-19.,facebook,0,https://correctiv.org/faktencheck/2021/01/06/die-diakonie-verpflichtet-weder-bewohner-noch-mitarbeiter-von-pflegeheimen-zu-einer-corona-impfung/,resident of nursing home of the diakonie in meissen had been threatened that she would lose her home if she did not get vaccinated against covid,resident nursing home diakonie meissen threatened would lose home get vaccinated covid
Israel,"Jan 6, 2021",Israeli politician pretends to be vaccinated against Covid-19.,facebook,1,https://factuel.afp.com/cet-elu-israelien-bien-ete-vaccine-contre-le-covid-19,israeli politician pretends to be vaccinated against covid,israeli politician pretends vaccinated covid
United States,"Jan 6, 2021",The video shows Kamala Harris actually wasn't vaccinated,person,0,https://observers.france24.com/fr/amériques/20210106-intox-kamala-harris-vaccination-covid-19-seringue-aiguille-etats-unis,the video shows kamala harris actually wasnt vaccinated,video shows kamala harris actually wasnt vaccinated
United States,"Jan 6, 2021",The video shows Kamala Harris actually wasn't vaccinated,social media,0,https://politica.estadao.com.br/blogs/estadao-verifica/nao-kamala-harris-nao-fingiu-ter-tomado-vacina-contra-covid-19/,the video shows kamala harris actually wasnt vaccinated,video shows kamala harris actually wasnt vaccinated
India,"Jan 6, 2021",Time magazine has covered and appreciated Yogi Adityanath for his methods to battle against the coronavirus pandemic.,news media,0,https://www.thequint.com/news/webqoof/media-misreport-time-magazine-story-on-yogi-coronavirus-pandemic,time magazine has covered and appreciated yogi adityanath for his methods to battle against the coronavirus pandemic,time magazine covered appreciated yogi adityanath methods battle coronavirus pandemic
Spain,"Jan 6, 2021","""Spanish Islamic community declares that they are not vaccinated against COVID19 or anything""",website,0,https://www.newtral.es/bulo-comision-islamica-espana-vacunas-covid/20210106/,spanish islamic community declares that they are not vaccinated against covid or anything,spanish islamic community declares vaccinated covid anything
Germany,"Jan 5, 2021","Cesare Sacchetti: «Eight nurses from a German nursing home were admitted to the hospital with Covid symptoms after receiving the Pfizer vaccine. The vaccine that should prevent Covid infection brings Covid. The coronavirus scam is now simply huge, but the mass is so stunned that whatever happens will continue to believe in the farce of the ""pandemic"" """,facebook,1,https://facta.news/fuori-contesto/2021/01/05/alcuni-infermieri-tedeschi-sono-stati-ricoverati-dopo-aver-ricevuto-il-vaccino-ma-solo-per-un-errore-di-dosaggio/,cesare sacchetti eight nurses from german nursing home were admitted to the hospital with covid symptoms after receiving the pfizer vaccine the vaccine that should prevent covid infection brings covid the coronavirus scam is now simply huge but the mass is so stunned that whatever happens will continue to believe in the farce of the pandemic,cesare sacchetti eight nurses german nursing home admitted hospital covid symptoms receiving pfizer vaccine vaccine prevent covid infection brings covid coronavirus scam simply huge mass stunned whatever happens continue believe farce pandemic
United States,"Jan 5, 2021",A meme accurately reports that the U.S. recorded roughly 2.9 million deaths in 2020 — almost the same total as previous years — despite COVID-19.,website,0,https://www.snopes.com/fact-check/typical-year-covid-deaths/,meme accurately reports that the recorded roughly million deaths in almost the same total as previous years despite covid,meme accurately reports recorded roughly million deaths almost total previous years despite covid
United States,"Jan 5, 2021",Ellen DeGeneres praised Rodrigo Duterte's response to the COVID-19 pandemic and said Filipinos have the worst citizens because they rally against the government.,facebook,0,https://verafiles.org/articles/vera-files-fact-check-ellen-degeneres-did-not-praise-duterte,ellen degeneres praised rodrigo dutertes response to the covid pandemic and said filipinos have the worst citizens because they rally against the government,ellen degeneres praised rodrigo dutertes response covid pandemic said filipinos worst citizens rally government
Canada,"Jan 5, 2021",Justin Trudeau violated COVID-19 guidelines to go to Barbados.,multiple sources,0,https://factcheck.afp.com/canada-pm-did-not-go-barbados-violation-covid-19-guidelines,justin trudeau violated covid guidelines to go to barbados,justin trudeau violated covid guidelines go barbados
United States,"Jan 5, 2021",The video shows Kamala Harris actually wasn't vaccinated,social media,0,https://www.aosfatos.org/noticias/e-falso-que-vacinacao-de-kamala-harris-contra-covid-19-foi-encenada/,the video shows kamala harris actually wasnt vaccinated,video shows kamala harris actually wasnt vaccinated
United Kingdom,"Jan 5, 2021","Just 13,844 people in England and Wales were infected with Covid-19 in 2020.",social media,1,https://fullfact.org/health/noids-covid/,just people in england and wales were infected with covid in,people england wales infected covid
United States,"Jan 5, 2021",Legislation proposed in the New York State Senate in 2021 called for the establishment of COVID-19 “detention camps.”,social media,1,https://www.snopes.com/fact-check/covid-detention-camps-new-york/,legislation proposed in the new york state senate in called for the establishment of covid detention camps,legislation proposed new york state senate called establishment covid detention camps
